event_id,event_name,event_date,driver_type,impact_cycle,predictability,industry,intensity_score,source_note
A_20250305_600318,涨停异动_新力金融_2025-03-05,2025-03-05,公司/市场异动事件,脉冲型事件,突发型事件,J66货币金融服务,5,近一年交易数据规则抽取
A_20250305_600343,涨停异动_航天动力_2025-03-05,2025-03-05,公司/市场异动事件,脉冲型事件,突发型事件,C34通用设备制造业,4,近一年交易数据规则抽取
A_20250305_600589,涨停异动_大位科技_2025-03-05,2025-03-05,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,5,近一年交易数据规则抽取
A_20250305_600590,涨停异动_泰豪科技_2025-03-05,2025-03-05,公司/市场异动事件,脉冲型事件,突发型事件,C38电气机械和器材制造业,5,近一年交易数据规则抽取
A_20250305_600592,涨停异动_龙溪股份_2025-03-05,2025-03-05,公司/市场异动事件,脉冲型事件,突发型事件,C34通用设备制造业,4,近一年交易数据规则抽取
A_20250305_600751,涨停异动_海航科技_2025-03-05,2025-03-05,公司/市场异动事件,脉冲型事件,突发型事件,G55水上运输业,4,近一年交易数据规则抽取
A_20250305_600815,涨停异动_厦工股份_2025-03-05,2025-03-05,公司/市场异动事件,脉冲型事件,突发型事件,C35专用设备制造业,4,近一年交易数据规则抽取
A_20250305_601020,涨停异动_华钰矿业_2025-03-05,2025-03-05,公司/市场异动事件,脉冲型事件,突发型事件,B09有色金属矿采选业,5,近一年交易数据规则抽取
A_20250305_601177,放量上涨异动_杭齿前进_2025-03-05,2025-03-05,公司/市场异动事件,脉冲型事件,突发型事件,C34通用设备制造业,4,近一年交易数据规则抽取
A_20250305_603048,涨停异动_浙江黎明_2025-03-05,2025-03-05,公司/市场异动事件,脉冲型事件,突发型事件,C36汽车制造业,4,近一年交易数据规则抽取
A_20250305_603081,跌停异动_大丰实业_2025-03-05,2025-03-05,公司/市场异动事件,脉冲型事件,突发型事件,C35专用设备制造业,4,近一年交易数据规则抽取
A_20250305_603166,涨停异动_福达股份_2025-03-05,2025-03-05,公司/市场异动事件,脉冲型事件,突发型事件,C36汽车制造业,5,近一年交易数据规则抽取
A_20250305_603178,涨停异动_圣龙股份_2025-03-05,2025-03-05,公司/市场异动事件,脉冲型事件,突发型事件,C36汽车制造业,5,近一年交易数据规则抽取
A_20250306_600133,涨停异动_东湖高新_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,N77生态保护和环境治理业,4,近一年交易数据规则抽取
A_20250306_600228,放量上涨异动_*ST返利_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,I64互联网和相关服务,3,近一年交易数据规则抽取
A_20250306_600449,涨停异动_宁夏建材_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,C30非金属矿物制品业,4,近一年交易数据规则抽取
A_20250306_600588,涨停异动_用友网络_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,4,近一年交易数据规则抽取
A_20250306_600589,涨停异动_大位科技_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,5,近一年交易数据规则抽取
A_20250306_600590,涨停异动_泰豪科技_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,C38电气机械和器材制造业,4,近一年交易数据规则抽取
A_20250306_600592,涨停异动_龙溪股份_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,C34通用设备制造业,4,近一年交易数据规则抽取
A_20250306_600714,涨停异动_金瑞矿业_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,C26化学原料和化学制品制造业,5,近一年交易数据规则抽取
A_20250306_600718,涨停异动_东软集团_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,4,近一年交易数据规则抽取
A_20250306_600728,涨停异动_佳都科技_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,4,近一年交易数据规则抽取
A_20250306_600751,涨停异动_海航科技_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,G55水上运输业,4,近一年交易数据规则抽取
A_20250306_600841,涨停异动_动力新科_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,C34通用设备制造业,5,近一年交易数据规则抽取
A_20250306_600986,涨停异动_浙文互联_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,I64互联网和相关服务,4,近一年交易数据规则抽取
A_20250306_601020,放量上涨异动_华钰矿业_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,B09有色金属矿采选业,4,近一年交易数据规则抽取
A_20250306_601136,涨停异动_首创证券_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,J67资本市场服务,5,近一年交易数据规则抽取
A_20250306_601177,涨停异动_杭齿前进_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,C34通用设备制造业,5,近一年交易数据规则抽取
A_20250306_601595,涨停异动_上海电影_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,R87广播、电视、电影和录音制作业,4,近一年交易数据规则抽取
A_20250306_601789,涨停异动_宁波建工_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,E48土木工程建筑业,5,近一年交易数据规则抽取
A_20250306_603012,涨停异动_创力集团_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,C35专用设备制造业,4,近一年交易数据规则抽取
A_20250306_603039,涨停异动_泛微网络_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,4,近一年交易数据规则抽取
A_20250306_603048,涨停异动_浙江黎明_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,C36汽车制造业,4,近一年交易数据规则抽取
A_20250306_603063,放量上涨异动_禾望电气_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,C38电气机械和器材制造业,3,近一年交易数据规则抽取
A_20250306_603088,涨停异动_宁波精达_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,C34通用设备制造业,4,近一年交易数据规则抽取
A_20250306_603166,涨停异动_福达股份_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,C36汽车制造业,5,近一年交易数据规则抽取
A_20250306_603171,涨停异动_税友股份_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,I64互联网和相关服务,4,近一年交易数据规则抽取
A_20250306_603219,涨停异动_富佳股份_2025-03-06,2025-03-06,公司/市场异动事件,脉冲型事件,突发型事件,C38电气机械和器材制造业,4,近一年交易数据规则抽取
A_20250307_600168,涨停异动_武汉控股_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,D46水的生产和供应业,4,近一年交易数据规则抽取
A_20250307_600228,涨停异动_*ST返利_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,I64互联网和相关服务,5,近一年交易数据规则抽取
A_20250307_600238,放量上涨异动_*ST椰岛_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,C15酒、饮料和精制茶制造业,4,近一年交易数据规则抽取
A_20250307_600281,涨停异动_华阳新材_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,C32有色金属冶炼和压延加工业,4,近一年交易数据规则抽取
A_20250307_600301,涨停异动_华锡有色_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,B09有色金属矿采选业,4,近一年交易数据规则抽取
A_20250307_600302,涨停异动_标准股份_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,C35专用设备制造业,5,近一年交易数据规则抽取
A_20250307_600361,涨停异动_创新新材_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,C32有色金属冶炼和压延加工业,4,近一年交易数据规则抽取
A_20250307_600367,涨停异动_红星发展_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,C26化学原料和化学制品制造业,4,近一年交易数据规则抽取
A_20250307_600397,涨停异动_江钨装备_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,F51批发业,4,近一年交易数据规则抽取
A_20250307_600531,放量上涨异动_豫光金铅_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,C32有色金属冶炼和压延加工业,3,近一年交易数据规则抽取
