event_id,stock_code,stock_name,market_code,relation_type,relation_strength,relation_layer,note
E20250507,302132,中航成飞,sz.302132,核心整机受益,1.0,直接,歼-10CE 事件直接映射
E20250507,300581,晨曦航空,sz.300581,无人机配套,0.85,直接,无人机链条配套
E20250507,688543,国科军工,sh.688543,导弹产业链,0.8,直接,导弹链条受益
E20251125,2792,通宇通讯,sz.002792,股权/基金直接投资,1.0,直接,通过空天基金重仓投资凌空天行
E20251125,688033,天宜上佳,sh.688033,核心供应商,0.8,直接,材料/零部件供应链
E20251125,3009,中天火箭,sz.003009,核心供应商,0.8,直接,火箭/导弹链条供应
E20251125,600037,歌华有线,sh.600037,基金间接参股,0.45,间接,间接股权关联
E20251125,600604,市北高新,sh.600604,基金间接参股,0.45,间接,间接股权关联
A_20250407_600006,600006,东风股份,sh.600006,跌停异动,1.0,直接,"规则抽取：涨跌幅=-9.97%, 换手率=2.44%"
A_20250520_600006,600006,东风股份,sh.600006,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.97%, 换手率=7.91%"
A_20250529_600006,600006,东风股份,sh.600006,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.99%, 换手率=7.86%"
A_20250711_600010,600010,包钢股份,sh.600010,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.00%, 换手率=4.45%"
A_20250724_600010,600010,包钢股份,sh.600010,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.04%, 换手率=8.58%"
A_20250730_600010,600010,包钢股份,sh.600010,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.19%, 换手率=11.53%"
A_20250825_600010,600010,包钢股份,sh.600010,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.93%, 换手率=6.76%"
A_20251013_600010,600010,包钢股份,sh.600010,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.84%, 换手率=8.16%"
A_20260225_600010,600010,包钢股份,sh.600010,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.15%, 换手率=6.62%"
A_20260227_600010,600010,包钢股份,sh.600010,放量上涨异动,1.0,直接,"规则抽取：涨跌幅=8.72%, 换手率=12.99%"
A_20250407_600017,600017,日照港,sh.600017,跌停异动,1.0,直接,"规则抽取：涨跌幅=-9.94%, 换手率=3.03%"
A_20250409_600017,600017,日照港,sh.600017,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.90%, 换手率=4.73%"
