code,tradeStatus,code_name,code_name_basic,ipoDate,outDate,type,status,industry,industryClassification
sh.600000,1,浦发银行,浦发银行,1999-11-10,,1,1,J66货币金融服务,证监会行业分类
sh.600004,1,白云机场,白云机场,2003-04-28,,1,1,G56航空运输业,证监会行业分类
sh.600006,1,东风股份,东风股份,1999-07-27,,1,1,C36汽车制造业,证监会行业分类
sh.600007,1,中国国贸,中国国贸,1999-03-12,,1,1,K70房地产业,证监会行业分类
sh.600008,1,首创环保,首创环保,2000-04-27,,1,1,D46水的生产和供应业,证监会行业分类
sh.600009,1,上海机场,上海机场,1998-02-18,,1,1,G56航空运输业,证监会行业分类
sh.600010,1,包钢股份,包钢股份,2001-03-09,,1,1,C31黑色金属冶炼和压延加工业,证监会行业分类
sh.600011,1,华能国际,华能国际,2001-12-06,,1,1,D44电力、热力生产和供应业,证监会行业分类
sh.600012,1,皖通高速,皖通高速,2003-01-07,,1,1,G54道路运输业,证监会行业分类
sh.600015,1,华夏银行,华夏银行,2003-09-12,,1,1,J66货币金融服务,证监会行业分类
sh.600016,1,民生银行,民生银行,2000-12-19,,1,1,J66货币金融服务,证监会行业分类
sh.600017,1,日照港,日照港,2006-10-17,,1,1,G55水上运输业,证监会行业分类
sh.600018,1,上港集团,上港集团,2006-10-26,,1,1,G55水上运输业,证监会行业分类
sh.600019,1,宝钢股份,宝钢股份,2000-12-12,,1,1,C31黑色金属冶炼和压延加工业,证监会行业分类
sh.600020,1,中原高速,中原高速,2003-08-08,,1,1,G54道路运输业,证监会行业分类
sh.600021,1,上海电力,上海电力,2003-10-29,,1,1,D44电力、热力生产和供应业,证监会行业分类
sh.600022,1,山东钢铁,山东钢铁,2004-06-29,,1,1,C31黑色金属冶炼和压延加工业,证监会行业分类
sh.600023,1,浙能电力,浙能电力,2013-12-19,,1,1,D44电力、热力生产和供应业,证监会行业分类
sh.600025,1,华能水电,华能水电,2017-12-15,,1,1,D44电力、热力生产和供应业,证监会行业分类
sh.600026,1,中远海能,中远海能,2002-05-23,,1,1,G55水上运输业,证监会行业分类
sh.600027,1,华电国际,华电国际,2005-02-03,,1,1,D44电力、热力生产和供应业,证监会行业分类
sh.600028,1,中国石化,中国石化,2001-08-08,,1,1,B07石油和天然气开采业,证监会行业分类
sh.600029,1,南方航空,南方航空,2003-07-25,,1,1,G56航空运输业,证监会行业分类
sh.600030,1,中信证券,中信证券,2003-01-06,,1,1,J67资本市场服务,证监会行业分类
sh.600031,1,三一重工,三一重工,2003-07-03,,1,1,C35专用设备制造业,证监会行业分类
sh.600032,1,浙江新能,浙江新能,2021-05-25,,1,1,D44电力、热力生产和供应业,证监会行业分类
sh.600033,1,福建高速,福建高速,2001-02-09,,1,1,G54道路运输业,证监会行业分类
sh.600035,1,楚天高速,楚天高速,2004-03-10,,1,1,G54道路运输业,证监会行业分类
sh.600036,1,招商银行,招商银行,2002-04-09,,1,1,J66货币金融服务,证监会行业分类
sh.600037,1,歌华有线,歌华有线,2001-02-08,,1,1,I63电信、广播电视和卫星传输服务,证监会行业分类
sh.600038,1,中直股份,中直股份,2000-12-18,,1,1,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类
sh.600039,1,四川路桥,四川路桥,2003-03-25,,1,1,E48土木工程建筑业,证监会行业分类
sh.600048,1,保利发展,保利发展,2006-07-31,,1,1,K70房地产业,证监会行业分类
sh.600050,1,中国联通,中国联通,2002-10-09,,1,1,I63电信、广播电视和卫星传输服务,证监会行业分类
sh.600051,1,宁波联合,宁波联合,1997-04-10,,1,1,F51批发业,证监会行业分类
sh.600052,1,东望时代,东望时代,1997-04-15,,1,1,R87广播、电视、电影和录音制作业,证监会行业分类
